symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
TATACONSUM,1091.9,0.3,1085.3,1097.9,1103.91,1120.43,1129.05,1129.75,0.0
NMDC,83.85,0.76,83.27,84.9,85.15,86.38,85.53,82.74,0.0
TRIDENT,25.31,0.4,25.15,25.66,25.54,25.4,25.52,26.33,0.0
CDSL,1385.2,-2.33,1383.1,1415.0,1368.73,1321.37,1317.72,1376.21,0.0
IIFL,557.7,0.45,552.3,563.9,535.29,514.16,505.59,507.92,0.0
SWIGGY,270.53,-2.29,270.0,276.28,262.3,261.84,277.25,309.06,0.0
IRFC,88.72,0.35,87.64,89.15,90.67,94.27,98.92,106.49,0.0
ELECON,455.0,-2.01,453.35,473.85,500.56,505.34,494.59,498.61,0.0
TBOTEK,1444.6,-0.99,1427.6,1458.1,1454.78,1387.73,1358.84,1376.98,0.0
LT,3838.8,0.64,3807.0,3850.0,3944.48,3985.08,3973.48,3915.72,0.0
SYNGENE,417.6,0.04,410.8,420.0,426.74,436.6,455.48,501.57,0.0
SRF,2871.7,-0.1,2845.9,2894.6,2782.99,2732.67,2719.11,2775.04,0.0
FORTIS,951.2,-0.13,948.8,960.1,962.41,954.65,938.65,919.93,0.0
YESBANK,22.93,-2.88,22.71,23.65,23.8,23.26,22.46,21.8,0.0
IREDA,121.83,0.16,120.3,122.58,124.19,125.62,127.32,132.23,0.0
URBANCO,133.6,2.49,129.46,134.29,132.15,130.33,129.92,134.58,0.0
AXISBANK,1256.0,-5.46,1249.1,1284.0,1321.6,1317.84,1304.42,1271.38,0.0
BLUESTARCO,1714.3,1.62,1660.0,1718.4,1668.3,1666.89,1701.7,1747.12,0.0
NATIONALUM,342.9,0.88,340.55,349.6,354.15,369.25,369.67,341.38,0.0
DOMS,2266.2,0.03,2249.0,2288.7,2287.65,2279.05,2300.59,2344.16,0.0
GILLETTE,7816.0,0.08,7786.0,7878.0,7782.83,7806.05,7939.26,8373.33,0.0
APOLLOTYRE,428.7,-0.45,426.25,431.25,431.3,423.87,429.66,443.47,0.0
COLPAL,2113.1,3.46,2024.5,2124.0,2039.73,2047.35,2066.15,2116.12,0.0
ACC,1381.4,0.27,1361.0,1393.2,1366.3,1372.84,1426.42,1542.37,0.0
BSOFT,291.35,1.15,287.25,294.15,292.9,311.01,334.03,358.16,0.0
DCMSHRIRAM,1031.2,0.81,1015.7,1035.0,1033.84,1057.56,1090.18,1143.63,0.0
FACT,831.2,-0.29,825.55,838.35,861.91,871.87,867.52,873.54,0.0
BLUEJET,589.5,0.85,575.0,600.5,566.05,521.37,497.86,540.67,0.0
KIRLOSENG,2221.7,-1.51,2212.9,2314.8,2295.47,2099.44,1857.4,1579.04,0.0
RECLTD,363.5,2.37,352.0,364.7,356.02,353.67,353.19,358.39,0.0
CLEAN,729.8,-1.96,715.5,748.0,767.37,773.57,789.39,858.76,0.0
UNITDSPR,1395.3,1.42,1363.5,1399.0,1371.77,1343.52,1335.98,1342.04,0.0
AUBANK,993.3,-3.58,989.6,1038.6,1035.47,1020.12,997.25,952.5,0.0
PATANJALI,339.2,0.44,335.05,342.6,391.69,418.45,448.04,491.7,0.0
JINDALSTEL,1033.3,0.81,1020.0,1044.0,1056.54,1107.38,1130.34,1113.08,0.0
TVSMOTOR,3590.2,-0.77,3550.1,3619.8,3577.51,3534.65,3536.47,3487.27,0.0
TRENT,2925.9,2.94,2837.0,2935.0,2983.96,2946.66,2971.62,3328.91,0.0
SUNDARMFIN,4425.2,-0.13,4398.9,4450.0,4509.19,4527.54,4630.56,4756.77,0.0
CRISIL,4233.8,-0.28,4200.0,4247.1,4101.99,4085.82,4163.36,4404.34,0.0
SJVN,69.1,-0.04,68.67,69.73,71.07,72.44,73.81,77.53,0.0
HBLENGINE,730.65,-1.52,722.75,744.55,771.7,780.01,778.84,770.77,0.0
SCHNEIDER,1341.0,4.89,1263.1,1348.7,1365.53,1299.77,1185.69,1061.74,0.0
ICICIBANK,1460.2,1.1,1439.5,1480.0,1397.37,1355.07,1339.77,1352.29,0.0
COALINDIA,429.4,0.41,428.15,433.5,434.68,443.19,442.29,430.67,0.0
ABSLAMC,1118.6,-2.78,1115.0,1167.3,1141.7,1105.91,1045.13,974.68,0.0
IRCTC,504.75,-0.44,499.7,507.0,506.32,517.85,541.93,589.11,0.0
UNIONBANK,175.93,4.43,167.77,177.29,168.88,169.5,169.69,165.42,0.0
NATCOPHARM,950.65,0.6,948.0,987.55,950.42,968.28,975.92,965.76,0.0
GICRE,360.25,-0.48,359.25,363.0,364.51,371.07,375.45,377.55,0.0
DMART,3975.5,0.6,3930.4,3997.8,4070.8,4140.64,4141.11,4121.04,0.0
INDIGO,5229.0,-0.37,5120.5,5261.5,5188.02,4961.99,4856.12,4980.56,0.0
TIMKEN,3129.5,-0.4,3115.0,3168.2,3308.08,3417.48,3404.06,3347.76,0.0
